ROWNUM;NAME;ADDRESS;NAME_PARK;DOP_INF;NAME_WF;ZONA;STATUS;USLOVIE;GLOBALID;X_WGS84;Y_WGS84;
57;"Wi-Fi точка № 6 в парке «Лианозовский»";"Угличская улица, дом 13";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788545";"37,57317549";"55,90064686";
58;"Wi-Fi точка № 7 в парке «Лианозовский»";"Угличская улица, дом 13";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788546";"37,57291961";"55,89951823";
59;"Wi-Fi точка № 8 в парке «Лианозовский»";"Угличская улица, дом 13";"Государственное автономное учреждение культуры города Москвы «Лианозовский парк культуры и отдыха»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788547";"37,57124762";"55,89881817";
60;"Wi-Fi точка № 2 в парке «Перовский»";"улица Лазо, дом 7";"Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788548";"37,77254003";"55,73938858";
61;"Wi-Fi точка № 3 в парке «Перовский»";"улица Лазо, дом 7";"Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788549";"37,7748141";"55,73930274";
62;"Wi-Fi точка № 4 в парке «Перовский»";"улица Лазо, дом 7";"Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788550";"37,77557491";"55,74087187";
63;"Wi-Fi точка № 5 в парке «Перовский»";"улица Лазо, дом 7";"Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788551";"37,77606807";"55,74181065";
64;"Wi-Fi точка № 6 в парке «Перовский»";"улица Лазо, дом 7";"Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788552";"37,77411479";"55,74291173";
65;"Wi-Fi точка № 7 в парке «Перовский»";"улица Лазо, дом 7";"Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788553";"37,77481298";"55,74275215";
66;"Wi-Fi точка № 8 в парке «Перовский»";"улица Лазо, дом 7";"Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788554";"37,77398869";"55,74234999";
67;"Wi-Fi точка № 9 в парке «Перовский»";"улица Лазо, дом 7";"Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788555";"37,77341825";"55,74210173";
68;"Wi-Fi точка № 10 в парке «Перовский»";"улица Лазо, дом 7";"Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788556";"37,77328807";"55,74155543";
69;"Wi-Fi точка № 11 в парке «Перовский»";"улица Лазо, дом 7";"Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788557";"37,77396157";"55,74148264";
70;"Wi-Fi точка № 12 в парке «Перовский»";"улица Лазо, дом 7";"Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788558";"37,77622188";"55,7424163";
71;"Wi-Fi точка № 13 в парке «Перовский»";"улица Лазо, дом 7";"Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788559";"37,77560988";"55,74225131";
72;"Wi-Fi точка № 14 в парке «Перовский»";"улица Лазо, дом 7";"Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788560";"37,77661965";"55,74207082";
73;"Wi-Fi точка № 15 в парке «Перовский»";"улица Лазо, дом 7";"Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788561";"37,77534587";"55,7406478";
